City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Dir,PK,35.2058,71.8756,50.07,51,39,0.49,scattered clouds
123,Brae,GB,60.3964,-1.353,44.51,88,83,21.3,broken clouds
124,Tezu,IN,27.9167,96.1667,73.15,24,0,4.65,clear sky
125,Pacific Grove,US,36.6177,-121.9166,61.56,74,0,4.61,clear sky
126,Ishigaki,JP,24.3448,124.1572,71.73,100,75,12.66,broken clouds
127,Faya,SA,18.3851,42.4509,55.92,42,13,5.48,few clouds
128,Xingcheng,CN,40.6167,120.7167,24.03,45,82,16.24,broken clouds
129,Altay,CN,47.8667,88.1167,14.27,92,98,3.11,overcast clouds
130,Pasighat,IN,28.0667,95.3333,72.14,23,0,3.74,clear sky
131,Mar Del Plata,AR,-38.0023,-57.5575,56.88,79,0,3.0,clear sky
132,Dunedin,NZ,-45.8742,170.5036,54.81,74,100,18.01,overcast clouds
133,Saint George,US,37.1041,-113.5841,56.35,26,0,5.75,clear sky
134,Victoria,HK,22.2855,114.1577,67.17,91,100,4.0,overcast clouds
135,Airai,TL,-8.9266,125.4092,70.86,74,84,2.26,heavy intensity rain
136,Ancud,CL,-41.8697,-73.8203,58.53,92,57,0.18,broken clouds
137,Kostyantynivka,UA,48.5277,37.7069,24.22,94,9,5.12,clear sky
138,Junagarh,IN,19.8667,82.9333,79.93,13,40,3.98,scattered clouds
139,Tuktoyaktuk,CA,69.4541,-133.0374,-34.35,100,21,3.62,few clouds
140,Saldanha,ZA,-33.0117,17.9442,67.15,81,76,11.21,broken clouds
141,Brokopondo,SR,4.75,-55.1667,73.72,92,35,6.22,scattered clouds
142,Evanston,US,42.0411,-87.6901,17.11,69,20,6.91,few clouds
143,Hervey Bay,AU,-25.2986,152.8535,78.04,73,23,19.37,few clouds
144,Neiafu,TO,-18.65,-173.9833,83.08,78,40,10.36,scattered clouds
145,Teahupoo,PF,-17.8333,-149.2667,76.96,76,80,15.03,broken clouds
146,Malindi,KE,-3.2175,40.1191,79.34,74,100,6.15,overcast clouds
147,Felanitx,ES,39.4696,3.1483,45.14,85,7,2.35,clear sky
148,Szczytno,PL,53.5626,20.9875,22.93,100,0,6.91,clear sky
149,Nelson Bay,AU,-32.7167,152.15,79.09,55,39,3.0,scattered clouds
150,Grand-Santi,GF,4.25,-54.3833,70.29,100,61,2.21,broken clouds
151,Chernushka,RU,56.5072,56.0766,25.48,96,100,6.49,light snow
152,Oistins,BB,13.0667,-59.5333,76.6,71,32,19.44,scattered clouds
153,Jiexiu,CN,37.0244,111.9125,42.51,55,79,10.98,broken clouds
154,Tolaga Bay,NZ,-38.3667,178.3,62.1,80,75,20.83,broken clouds
155,Bushenyi,UG,-0.5853,30.2114,66.94,67,100,1.28,overcast clouds
156,Kurumkan,RU,54.3,110.3,-7.53,89,89,2.42,overcast clouds
157,Dharchula,IN,29.85,80.5333,63.05,23,0,5.55,clear sky
158,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,68.34,94,99,2.01,overcast clouds
159,Vostok,RU,46.4856,135.8833,10.98,87,100,4.74,overcast clouds
160,Ponta Do Sol,PT,32.6667,-17.1,63.23,71,27,4.45,scattered clouds
161,Kodiak,US,57.79,-152.4072,33.31,86,0,3.44,clear sky
162,Rach Gia,VN,10.0167,105.0833,89.55,54,58,12.62,broken clouds
163,Flinders,AU,-34.5833,150.8552,77.2,56,20,11.92,few clouds
164,Sipe Sipe,BO,-17.45,-66.3833,50.16,89,100,2.28,overcast clouds
165,Zhigansk,RU,66.7697,123.3711,-22.52,99,97,5.03,overcast clouds
166,Caravelas,BR,-17.7125,-39.2481,74.98,86,100,1.83,overcast clouds
167,Volovo,UA,48.5246,23.5056,17.13,87,3,4.16,clear sky
168,Maragogi,BR,-9.0122,-35.2225,77.13,86,3,5.41,clear sky
169,Sisimiut,GL,66.9395,-53.6735,6.85,93,100,6.96,overcast clouds
170,Raudeberg,NO,61.9875,5.1352,41.86,93,100,11.01,overcast clouds
171,Krasnoselkup,RU,65.7,82.4667,-1.05,83,4,13.58,clear sky
172,Hamilton,US,39.1834,-84.5333,25.63,78,100,11.5,overcast clouds
173,Ahipara,NZ,-35.1667,173.1667,67.42,60,46,15.59,scattered clouds
174,Esso,RU,55.9333,158.7,3.38,99,83,2.84,broken clouds
175,Kirakira,SB,-10.4544,161.9205,82.58,78,86,3.4,overcast clouds
176,Yakeshi,CN,49.2833,120.7333,-6.77,89,95,3.53,overcast clouds
177,Troina,IT,37.7854,14.5985,36.37,83,31,2.33,scattered clouds
178,Acarau,BR,-2.8856,-40.12,77.09,89,86,7.76,overcast clouds
179,Bairiki,KI,1.3292,172.9752,84.2,70,75,9.22,broken clouds
180,Carutapera,BR,-1.195,-46.02,75.27,95,90,5.08,overcast clouds
181,Ayorou,NE,14.7308,0.9174,66.65,13,20,8.61,few clouds
182,Morbegno,IT,46.1383,9.57,38.82,59,100,2.98,overcast clouds
183,Angoche,MZ,-16.2325,39.9086,78.91,86,99,8.97,overcast clouds
184,Tomatlan,MX,19.9333,-105.25,66.43,60,1,3.56,clear sky
185,Porto Novo,BJ,6.4965,2.6036,77.52,89,19,4.38,light rain
